Re,nx,method,n_snapshots,ranks,memory_mb,compression_ratio,reconstruction_error,decomp_time_sec,collect_time_sec
10.0,64,dense_trajectory,327,full,20.4375,1.0,0.0,0.0,0.9219567000000097
10.0,64,tucker_fixed_rank,327,"[8, 8, 8]",0.0633544921875,322.5895953757225,1.4163787452726357e-08,1.3592545999999857,0.9219567000000097
10.0,64,tucker_associator_guided,327,"[9, 19, 19]",0.131591796875,155.30983302411875,3.5889929472454564e-12,1.6611366999968595,0.9219567000000097
100.0,64,dense_trajectory,34,full,2.125,1.0,0.0,0.0,0.10000380000201403
100.0,64,tucker_fixed_rank,34,"[8, 8, 8]",0.027587890625,77.02654867256638,1.782057360165628e-06,0.1199586000002455,0.10000380000201403
100.0,64,tucker_associator_guided,34,"[15, 30, 30]",0.272369384765625,7.801904761904762,1.0658974556396888e-15,0.21281249999810825,0.10000380000201403
500.0,64,dense_trajectory,20,full,1.25,1.0,0.0,0.0,0.056488700000045355
500.0,64,tucker_fixed_rank,20,"[8, 8, 8]",0.02587890625,48.301886792452834,3.8141841504400524e-06,0.0818671999986691,0.056488700000045355
500.0,64,tucker_associator_guided,20,"[10, 31, 31]",0.210235595703125,5.945710553055596,1.5446661698142188e-10,0.1333134999986214,0.056488700000045355
2000.0,64,dense_trajectory,20,full,1.25,1.0,0.0,0.0,0.05327970000143978
2000.0,64,tucker_fixed_rank,20,"[8, 8, 8]",0.02587890625,48.301886792452834,3.9884754031885875e-06,0.08159940000041388,0.05327970000143978
2000.0,64,tucker_associator_guided,20,"[10, 31, 31]",0.210235595703125,5.945710553055596,1.5903275630172042e-10,0.13327619999836315,0.05327970000143978
